year,site,site.code,plant.species,week,flw.per.meter.sum.week,flw.count.sum.week
2015,Copper.Creek,CC,Hackelia.floribunda,10,8.4,21
2015,Copper.Creek,CC,Helianthella.quinquenervis,9,16,40
2015,Copper.Creek,CC,Helianthella.quinquenervis,10,17.2,43
2015,Copper.Creek,CC,Helianthella.quinquenervis,11,30.4,76
2015,Copper.Creek,CC,Helianthella.quinquenervis,12,23.2,58
2015,Copper.Creek,CC,Heliomeris.multiflora,10,1.6,4
2015,Copper.Creek,CC,Heliomeris.multiflora,11,15.200000000000001,38
2015,Copper.Creek,CC,Heliomeris.multiflora,12,58.8,147
2015,Copper.Creek,CC,Heliomeris.multiflora,13,272,680
2015,Copper.Creek,CC,Heliomeris.multiflora,14,70,175
2015,Copper.Creek,CC,Heliomeris.multiflora,15,35.6,89
2015,Copper.Creek,CC,Heliomeris.multiflora,16,6,15
2015,Copper.Creek,CC,Heracleum.sphondylium,9,13.200000000000001,33
2015,Copper.Creek,CC,Heracleum.sphondylium,10,14.8,37
2015,Copper.Creek,CC,Heracleum.sphondylium,11,8,20
2015,Copper.Creek,CC,Heracleum.sphondylium,12,2,5
2015,Copper.Creek,CC,Hydrophyllum.capitatum,3,2,5
2015,Copper.Creek,CC,Hydrophyllum.capitatum,4,86.8,217
2015,Copper.Creek,CC,Hydrophyllum.capitatum,6,110.4,276
2015,Copper.Creek,CC,Hydrophyllum.fendleri,5,254.8,637
2015,Copper.Creek,CC,Hydrophyllum.fendleri,6,1.6,4
2015,Copper.Creek,CC,Hydrophyllum.fendleri,7,22.4,56
2015,Copper.Creek,CC,Hydrophyllum.fendleri,8,63.6,159
2015,Copper.Creek,CC,Hydrophyllum.fendleri,9,44,110
2015,Copper.Creek,CC,Hydrophyllum.fendleri,10,8.4,21
2015,Copper.Creek,CC,Lathyrus.leucanthus,5,0.8,2
2015,Copper.Creek,CC,Lathyrus.leucanthus,6,7.2,18
2015,Copper.Creek,CC,Lathyrus.leucanthus,7,43.6,109
2015,Copper.Creek,CC,Lathyrus.leucanthus,8,26.4,66
2015,Copper.Creek,CC,Lathyrus.leucanthus,9,23.6,59
2015,Copper.Creek,CC,Lathyrus.leucanthus,10,6.8,17
2015,Copper.Creek,CC,Ligularia.bigelovii,12,1.2000000000000002,3
2015,Copper.Creek,CC,Ligularia.bigelovii,13,3.1999999999999997,8
2015,Copper.Creek,CC,Ligusticum.porteri,7,2.4,6
2015,Copper.Creek,CC,Ligusticum.porteri,9,29.2,73
2015,Copper.Creek,CC,Ligusticum.porteri,10,13.2,33
2015,Copper.Creek,CC,Ligusticum.porteri,11,9.6,24
2015,Copper.Creek,CC,Ligusticum.porteri,12,0.4,1
2015,Copper.Creek,CC,Ligusticum.porteri,13,0.4,1
2015,Copper.Creek,CC,Lupinus.bakeri,6,0.4,1
2015,Copper.Creek,CC,Lupinus.bakeri,7,108,270
2015,Copper.Creek,CC,Lupinus.bakeri,8,138,345
2015,Copper.Creek,CC,Lupinus.bakeri,9,28,70
2015,Copper.Creek,CC,Lupinus.bakeri,10,7.6,19
2015,Copper.Creek,CC,Lupinus.bakeri,11,3.6,9
2015,Copper.Creek,CC,Mahonia.repens,3,1.2000000000000002,3
2015,Copper.Creek,CC,Mahonia.repens,4,16.4,41
2015,Copper.Creek,CC,Mahonia.repens,5,21.6,54
2015,Copper.Creek,CC,Mahonia.repens,6,5.6,14
2015,Copper.Creek,CC,Mertensia.fusiformis,1,3.6,9
2015,Copper.Creek,CC,Mertensia.fusiformis,2,17.6,44
2015,Copper.Creek,CC,Mertensia.fusiformis,3,62.4,156
2015,Copper.Creek,CC,Mertensia.fusiformis,4,138,345
2015,Copper.Creek,CC,Mertensia.fusiformis,5,42.8,107
2015,Copper.Creek,CC,Mertensia.fusiformis,6,11.6,29
2015,Copper.Creek,CC,Mertensia.fusiformis,7,0.4,1
2015,Copper.Creek,CC,Pedicularis.bracteosa,9,2.4,6
2015,Copper.Creek,CC,Pedicularis.bracteosa,10,3.6,9
2015,Copper.Creek,CC,Pedicularis.bracteosa,11,4.4,11
2015,Copper.Creek,CC,Pedicularis.procera,12,3.2,8
2015,Copper.Creek,CC,Phacelia.heterophylla,9,30.8,77
2015,Copper.Creek,CC,Phacelia.heterophylla,10,42.4,106
2015,Copper.Creek,CC,Potentilla.pulcherrima,8,7.6000000000000005,19
2015,Copper.Creek,CC,Potentilla.pulcherrima,9,20.4,51
2015,Copper.Creek,CC,Potentilla.pulcherrima,10,26,65
2015,Copper.Creek,CC,Potentilla.pulcherrima,11,20.8,52
2015,Copper.Creek,CC,Potentilla.pulcherrima,12,21.6,54
2015,Copper.Creek,CC,Potentilla.pulcherrima,13,5.6,14
2015,Copper.Creek,CC,Ranunculus.inamoenus,3,0.4,1
2015,Copper.Creek,CC,Ranunculus.inamoenus,4,2.4,6
2015,Copper.Creek,CC,Ranunculus.inamoenus,5,5.6000000000000005,14
2015,Copper.Creek,CC,Ranunculus.inamoenus,6,2,5
2015,Copper.Creek,CC,Ranunculus.inamoenus,7,1.2000000000000002,3
2015,Copper.Creek,CC,Salix.wolfii,4,20,50
2015,Copper.Creek,CC,Salix.wolfii,5,171.6,429
2015,Copper.Creek,CC,Salix.wolfii,6,34.8,87
2015,Copper.Creek,CC,Salix.wolfii,7,7.2,18
2015,Copper.Creek,CC,Senecio.serra,12,0.4,1
2015,Copper.Creek,CC,Senecio.serra,13,15.600000000000001,39
2015,Copper.Creek,CC,Senecio.serra,14,0.8,2
2015,Copper.Creek,CC,Taraxacum.officinale,4,1.2000000000000002,3
2015,Copper.Creek,CC,Taraxacum.officinale,5,6.8,17
2015,Copper.Creek,CC,Taraxacum.officinale,6,5.2,13
2015,Copper.Creek,CC,Taraxacum.officinale,7,0.4,1
2015,Copper.Creek,CC,Valeriana.occidentalis,5,11.200000000000001,28
2015,Copper.Creek,CC,Valeriana.occidentalis,6,10.8,27
2015,Copper.Creek,CC,Valeriana.occidentalis,7,6,15
2015,Copper.Creek,CC,Valeriana.occidentalis,8,2.4,6
2015,Copper.Creek,CC,Veratrum.tenuipetalum,9,3.6,9
2015,Copper.Creek,CC,Veratrum.tenuipetalum,10,4.4,11
2015,Copper.Creek,CC,Veratrum.tenuipetalum,11,3.2,8
2015,Copper.Creek,CC,Veratrum.tenuipetalum,12,2.8000000000000003,7
2015,Copper.Creek,CC,Vicia.americana,8,4,10
2015,Copper.Creek,CC,Vicia.americana,9,44.4,111
2015,Copper.Creek,CC,Vicia.americana,10,27.6,69
2015,Copper.Creek,CC,Vicia.americana,11,40,100
2015,Copper.Creek,CC,Vicia.americana,12,6,15
2015,Copper.Creek,CC,Viola.praemorsa,4,2.4,6
2015,Copper.Creek,CC,Viola.praemorsa,5,10.8,27
2015,Copper.Creek,CC,Viola.praemorsa,6,3.6,9
2015,Frogs.Pond,FP,Achillea.millefolium,10,12.4,31
2015,Frogs.Pond,FP,Achillea.millefolium,11,10.4,26
2015,Frogs.Pond,FP,Achillea.millefolium,12,20,50
2015,Frogs.Pond,FP,Achillea.millefolium,13,16.4,41
2015,Frogs.Pond,FP,Achillea.millefolium,14,8.8,22
2015,Frogs.Pond,FP,Achillea.millefolium,15,6.4,16
2015,Frogs.Pond,FP,Achillea.millefolium,16,12.799999999999999,32
2015,Frogs.Pond,FP,Achillea.millefolium,17,4,10
2015,Frogs.Pond,FP,Adenolinum.lewisii,7,4.8,12
2015,Frogs.Pond,FP,Adenolinum.lewisii,8,53.6,134
2015,Frogs.Pond,FP,Adenolinum.lewisii,9,37.6,94
2015,Frogs.Pond,FP,Adenolinum.lewisii,10,32.800000000000004,82
2015,Frogs.Pond,FP,Adenolinum.lewisii,11,8,20
2015,Frogs.Pond,FP,Adenolinum.lewisii,12,8.4,21
2015,Frogs.Pond,FP,Agoseris.aurantiaca,11,0.4,1
2015,Frogs.Pond,FP,Agoseris.glauca,13,0.4,1
2015,Frogs.Pond,FP,Calochortus.gunnisonii,9,1.2000000000000002,3
2015,Frogs.Pond,FP,Calochortus.gunnisonii,10,19.2,48
2015,Frogs.Pond,FP,Calochortus.gunnisonii,11,2.4,6
2015,Frogs.Pond,FP,Calochortus.gunnisonii,12,1.2000000000000002,3
2015,Frogs.Pond,FP,Campanula.rotundifolia,9,1.2,3
2015,Frogs.Pond,FP,Campanula.rotundifolia,10,6.8,17
2015,Frogs.Pond,FP,Campanula.rotundifolia,11,12.8,32
2015,Frogs.Pond,FP,Campanula.rotundifolia,12,11.200000000000001,28
2015,Frogs.Pond,FP,Castilleja.linariifolia,9,6,15
2015,Frogs.Pond,FP,Castilleja.linariifolia,11,9.6,24
2015,Frogs.Pond,FP,Castilleja.linariifolia,12,10,25
2015,Frogs.Pond,FP,Castilleja.linariifolia,13,4.4,11
2015,Frogs.Pond,FP,Castilleja.linariifolia,14,8.4,21
2015,Frogs.Pond,FP,Castilleja.linariifolia,15,3.2,8
2015,Frogs.Pond,FP,Castilleja.linariifolia,16,3.2,8
2015,Frogs.Pond,FP,Castilleja.sulphurea,10,12.8,32
2015,Frogs.Pond,FP,Claytonia.lanceolata,2,0.8,2
2015,Frogs.Pond,FP,Claytonia.lanceolata,3,0.4,1
2015,Frogs.Pond,FP,Collomia.linearis,8,2.4,6
2015,Frogs.Pond,FP,Collomia.linearis,9,220,550
2015,Frogs.Pond,FP,Collomia.linearis,10,129.20000000000002,323
2015,Frogs.Pond,FP,Collomia.linearis,11,9.6,24
2015,Frogs.Pond,FP,Collomia.linearis,12,3.2,8
2015,Frogs.Pond,FP,Collomia.linearis,16,0.4,1
2015,Frogs.Pond,FP,Delphinium.barbeyi,9,18.4,46
2015,Frogs.Pond,FP,Delphinium.barbeyi,10,100.4,251
2015,Frogs.Pond,FP,Delphinium.barbeyi,11,182,455
2015,Frogs.Pond,FP,Delphinium.barbeyi,12,152,380
2015,Frogs.Pond,FP,Draba.aurea,5,2.4,6
2015,Frogs.Pond,FP,Draba.aurea,6,1.6,4
2015,Frogs.Pond,FP,Draba.aurea,7,2,5
2015,Frogs.Pond,FP,Dugaldia.hoopesii,11,0.8,2
2015,Frogs.Pond,FP,Dugaldia.hoopesii,12,0.8,2
2015,Frogs.Pond,FP,Erigeron.speciosus,9,15.2,38
2015,Frogs.Pond,FP,Erigeron.speciosus,10,63.6,159
2015,Frogs.Pond,FP,Erigeron.speciosus,11,180,450
2015,Frogs.Pond,FP,Erigeron.speciosus,12,287.6,719
2015,Frogs.Pond,FP,Erigeron.speciosus,13,115.6,289
2015,Frogs.Pond,FP,Erigeron.speciosus,14,15.6,39
2015,Frogs.Pond,FP,Erigeron.speciosus,15,7.2,18
2015,Frogs.Pond,FP,Erigeron.speciosus,16,2,5
2015,Frogs.Pond,FP,Erysimum.capitatum,6,2,5
2015,Frogs.Pond,FP,Erysimum.capitatum,7,9.200000000000001,23
2015,Frogs.Pond,FP,Erysimum.capitatum,8,16,40
2015,Frogs.Pond,FP,Fragaria.virginiana,5,0.8,2
2015,Frogs.Pond,FP,Fragaria.virginiana,6,0.8,2
2015,Frogs.Pond,FP,Fragaria.virginiana,7,0.8,2
2015,Frogs.Pond,FP,Gentiana.parryi,14,0.4,1
2015,Frogs.Pond,FP,Hackelia.floribunda,9,2.8,7
2015,Frogs.Pond,FP,Hackelia.floribunda,10,3.2,8
2015,Frogs.Pond,FP,Helianthella.quinquenervis,8,2,5
2015,Frogs.Pond,FP,Helianthella.quinquenervis,9,25.2,63
2015,Frogs.Pond,FP,Helianthella.quinquenervis,10,21.2,53
2015,Frogs.Pond,FP,Helianthella.quinquenervis,11,16.4,41
2015,Frogs.Pond,FP,Helianthella.quinquenervis,12,7.6,19
