site,site.code,year,date,doy,week,observer,obs.start,obs.end,tot.obs.length,weather,habitat,habitat.code,no.bees,genus,species,caste,behaviour,plant.species,resource.coll
Avery.Wash,AW,2016,29-Jul-16,211,13,JEO,16:15:00,17:15:00,60,partlycloudy.warm,dry,d,1,Bombus,bifarius,m,frg,Ligularia.bigelovii,nectar
Avery.Wash,AW,2016,29-Jul-16,211,13,JEO,16:15:00,17:15:00,60,partlycloudy.warm,dry,d,1,Bombus,bifarius,w,frg,Dugaldia.hoopesii,nectar
Avery.Wash,AW,2016,29-Jul-16,211,13,JEO,16:15:00,17:15:00,60,partlycloudy.warm,dry,d,1,Bombus,bifarius,w,frg,Dugaldia.hoopesii,nectar
Avery.Wash,AW,2016,29-Jul-16,211,13,JEO,16:15:00,17:15:00,60,partlycloudy.warm,dry,d,1,Bombus,bifarius,m,frg,Heliomeris.multiflora,nectar
Gothic.Spires,GS,2016,9-Jul-16,191,10,JEO,16:12:00,17:12:00,60,mostlyclear.warm.breezy,wet,w,1,Bombus,appositus,w,frg,Vicia.americana,nectar.and.pollen
Rosy.Hills,RH,2016,6-Jul-16,188,10,JEO,15:43:00,16:43:00,60,mostlycloudy.warm.breezy,wet,w,1,Bombus,appositus,w,frg,Vicia.americana,nectar
Rosy.Hills,RH,2016,6-Jul-16,188,10,JEO,15:43:00,16:43:00,60,mostlycloudy.warm.breezy,wet,w,1,Bombus,appositus,w,frg,Aconitum.columbianum,nectar.and.pollen
Rosy.Hills,RH,2016,6-Jul-16,188,10,JEO,15:43:00,16:43:00,60,mostlycloudy.warm.breezy,wet,w,1,Bombus,appositus,w,frg,Aconitum.columbianum,nectar.and.pollen
Rosy.Hills,RH,2016,6-Jul-16,188,10,JEO,15:43:00,16:43:00,60,mostlycloudy.warm.breezy,wet,w,1,Bombus,appositus,w,frg,Aconitum.columbianum,nectar.and.pollen
Stormy.Pass,SP,2016,7-Jul-16,189,10,JEO,16:09:00,17:09:00,60,clear.warm,wet,w,1,Bombus,appositus,w,frg,Delphinium.barbeyi,nectar
Stormy.Pass,SP,2016,7-Jul-16,189,10,JEO,16:09:00,17:09:00,60,clear.warm,wet,w,1,Bombus,appositus,w,frg,Delphinium.barbeyi,nectar.and.pollen
Avery.Wash,AW,2016,16-Jul-16,198,11,JEO,11:35:00,12:35:00,60,clear.warm,dry,d,1,Bombus,appositus,w,frg,Ligularia.bigelovii,nectar
Copper.Creek,CC,2016,15-Jul-16,197,11,JEO,13:53:00,14:53:00,60,mostlyclear.warm,wet,w,1,Bombus,appositus,w,frg,Delphinium.barbeyi,nectar.and.pollen
Copper.Creek,CC,2016,15-Jul-16,197,11,JEO,13:53:00,14:53:00,60,mostlyclear.warm,wet,w,1,Bombus,appositus,w,frg,Delphinium.barbeyi,nectar.and.pollen
Copper.Creek,CC,2016,15-Jul-16,197,11,JEO,13:53:00,14:53:00,60,mostlyclear.warm,wet,w,1,Bombus,appositus,w,frg,Delphinium.barbeyi,nectar.and.pollen
Avery.Wash,AW,2016,29-Jul-16,211,13,JEO,16:15:00,17:15:00,60,partlycloudy.warm,wet,w,1,Bombus,flavifrons,q,frg,Delphinium.barbeyi,nectar.and.pollen
Avery.Wash,AW,2016,29-Jul-16,211,13,JEO,16:15:00,17:15:00,60,partlycloudy.warm,wet,w,1,Bombus,flavifrons,q,frg,Delphinium.barbeyi,nectar.and.pollen
Avery.Wash,AW,2016,29-Jul-16,211,13,JEO,16:15:00,17:15:00,60,partlycloudy.warm,wet,w,1,Bombus,flavifrons,q,frg,Delphinium.barbeyi,nectar.and.pollen
