site,year,week,n_bee,n_plant,S,S_eff,Omega,omega
RH,2018,18,1,1,2,2,0.5,0.7071067811865476
RH,2019,4,1,2,3,3,0.5,0.7937005259840998
RH,2019,5,2,2,4,4,0.25,0.7071067811865476
RH,2019,6,1,1,2,2,0.5,0.7071067811865476
RH,2019,7,4,3,7,7,0.0961306931884581,0.71563995873226
RH,2019,8,6,4,10,10,0.18942291647983062,0.8467266945798894
RH,2019,9,5,6,11,11,0.4999997033541751,0.9389308600198865
RH,2019,10,6,7,13,13,0.4999999999934514,0.9480775143382163
RH,2019,11,5,10,15,15,0.49999993017415645,0.9548415950207333
RH,2019,12,7,13,20,20,0.4999462750350789,0.9659311391704234
RH,2019,13,5,9,14,14,0.49999999984719545,0.9516951529898449
RH,2019,14,5,4,9,9,0.499999999999989,0.9258747122872881
RH,2019,15,5,1,6,6,0.5,0.8908987181403393
RH,2019,16,3,1,4,4,0.5,0.8408964152537145
RH,2020,3,1,1,2,2,0.5,0.7071067811865476
RH,2020,4,2,1,3,3,0.5,0.7937005259840998
RH,2020,5,4,2,6,6,0.25,0.7937005259840998
RH,2020,6,4,4,8,8,0.1601472978283258,0.7953622088432675
RH,2020,7,6,5,11,11,0.043860592320736275,0.752579227005888
RH,2020,8,5,5,10,10,0.24824558146943415,0.8699377013920045
RH,2020,9,5,6,11,11,0.10264448533223484,0.8130577992444005
RH,2020,10,5,6,11,11,0.024934099059376328,0.7149142783917714
RH,2020,11,2,2,4,4,0.25,0.7071067811865476
RH,2020,12,1,2,3,3,0.5,0.7937005259840998
RH,2020,13,4,3,7,7,0.5,0.9057236642639067
RH,2020,14,4,4,8,8,0.4999999999990087,0.917004043204444
RH,2020,15,1,1,2,2,0.5,0.7071067811865476
RH,2020,16,2,2,4,4,0.5,0.8408964152537145
RH,2020,17,2,1,3,3,0.5,0.7937005259840998
RH,2021,4,1,1,2,2,0.5,0.7071067811865476
RH,2021,5,3,1,4,4,0.5,0.8408964152537145
RH,2021,6,2,2,4,4,0.25,0.7071067811865476
RH,2021,7,3,2,5,5,0.5,0.8705505632961241
RH,2021,8,5,4,9,9,0.22206623589289165,0.8460323077260561
RH,2021,9,6,6,12,12,0.49999645264999365,0.9438737546377873
RH,2021,10,5,9,14,14,0.2022733212380976,0.8921218701089467
RH,2021,11,5,7,12,12,0.024341143631953444,0.7337167182982576
RH,2021,12,6,11,17,17,0.4999432963251824,0.9600402820217792
RH,2021,13,7,11,18,18,0.49992564579795973,0.962215886848565
RH,2021,14,7,15,22,22,0.4996014060233429,0.9689493485919047
RH,2021,15,8,15,23,23,0.49996614874591233,0.9703098964570042
RH,2021,16,7,10,17,17,0.4999999996017879,0.9600466868098165
RH,2021,17,6,6,12,12,0.49999954955710163,0.9438742418214174
RH,2021,18,6,5,11,11,0.4999976242715358,0.9389305050890322
RH,2021,19,5,1,6,6,0.5,0.8908987181403393
RH,2022,2,1,1,2,2,0.5,0.7071067811865476
RH,2022,3,2,1,3,3,0.5,0.7937005259840998
RH,2022,4,3,2,5,5,0.15750277704957427,0.6909675358221332
RH,2022,5,2,1,3,3,0.5,0.7937005259840998
RH,2022,6,4,3,7,7,0.5,0.9057236642639067
RH,2022,7,5,4,9,9,0.18479549249852734,0.828936501336705
RH,2022,8,4,4,8,8,0.10961883577874504,0.7585525072361459
RH,2022,9,8,12,20,20,0.051050045548514784,0.8617867384594743
RH,2022,10,5,7,12,12,0.062431862493096596,0.793628382228474
RH,2022,11,4,7,11,11,0.49999895553033197,0.9389307323551995
RH,2022,12,5,5,10,10,0.4999999979648037,0.9330329911570263
RH,2022,13,6,6,12,12,0.06391625360017748,0.7951839565826928
RH,2022,14,7,3,10,10,0.4999725293292474,0.9330278652016423
RH,2022,15,5,5,10,10,0.49947053379199946,0.9329341425361793
RH,2022,16,3,3,6,6,0.10847987866175501,0.6905972825905439
RH,2022,17,3,3,6,6,0.5,0.8908987181403393
RH,2022,18,2,1,3,3,0.5,0.7937005259840998
RH,2022,19,2,1,3,3,0.5,0.7937005259840998
RH,2023,2,2,2,4,4,0.5,0.8408964152537145
RH,2023,3,4,1,5,5,0.5,0.8705505632961241
RH,2023,4,6,2,8,8,0.20537575821759302,0.8204812248008428
RH,2023,5,2,2,4,4,0.25,0.7071067811865476
RH,2023,6,5,3,8,8,0.20618723968364072,0.8208857620754177
RH,2023,7,5,3,8,8,0.24676433826512303,0.8395282208786329
RH,2023,8,5,4,9,9,0.49998600710431224,0.9258718332140868
RH,2023,9,6,6,12,12,0.0611157314533988,0.7922205149568807
RH,2023,10,6,4,10,10,0.4999932509957947,0.9330317321204409
RH,2023,11,5,4,9,9,0.17289511961365794,0.8228282478942847
RH,2023,12,1,1,2,2,0.5,0.7071067811865476
RH,2023,13,1,1,2,2,0.5,0.7071067811865476
RH,2023,14,4,1,5,5,0.5,0.8705505632961241
RH,2023,15,2,1,3,3,0.5,0.7937005259840998
SP,2015,3,1,1,2,2,0.5,0.7071067811865476
SP,2015,4,2,1,3,3,0.5,0.7937005259840998
SP,2015,5,4,4,8,8,0.49999912083822645,0.917003841655791
SP,2015,6,4,5,9,9,0.4999946789769408,0.925873617481958
SP,2015,7,4,5,9,9,0.5,0.9258747122872905
SP,2015,8,6,6,12,12,0.07491920598485896,0.8057792828168057
SP,2015,9,5,4,9,9,0.4999946760557817,0.925873616880924
SP,2015,10,4,7,11,11,0.49997728385603085,0.9389270326016663
